"","Listing_ID","Postal_Code","Name","Header","Description","Address","Property Name","Property Type","Model","Bedrooms","Bathrooms","Floor Level","Tenure","Developer","Built Year","No. of Units","District","Asking","Size","PSF","Tenancy Status","Date Listed","Facilities","Trains_MRT_LRT","Bus_Stops","Primary_Schools","Secondary_Schools","Shopping_Malls","Groceries_Supermarts","Tenanted Amount","Furnish","Integrated_Schools","TOP"
"1","93286941","828790","Twin Waterfalls (D19), Condominium - For Sale","","New Listing, 915 sqft, High Floor 3 Bedrooms With Balcony For Sale! 6 yr old just MOP Executive Condo! Above level 10! ---------------- Bright and windy! North South facing unit, no afternoon sun! Unit facing towards Ecopolitan, no heavy traffic noises! Main Door Facing North. ---------------- Huge Master bedroom can fit king sized bed and still have ample space! Big common bedrooms can fit queen sized beds! Very well maintained! ---------------- Only 4 units per floor with 2 lifts! Corner unit! ---------------- Condo comes with: 2 clubhouses, 2 swimming pools, 2 waterfalls, 2 gym rooms, 2 tennis courts, and so much more! ---------------- Very convenient to amenities! >Bus stops at condo's side gates! >Just 5 mins walk to Food, Shops and Supermarket at Blk 218! >5 mins walk to Soo Teck LRT Station, Food and Shops! >8 mins walk to Punggol Bus Interchange/MRT Station! >10 mins walk to Waterway Point Shopping Mall! >1 min drive to TPE entrance! Surround by many Primary Schools! Primary Schools within 1km: >Punggol Green Primary School >Punggol View Primary School >Valour Primary School >Compassvale Primary School --------------------- Contact me today for the full virtual tour! Email: property.normankoh@gmail.com SMS/WhatsApp: +65 9761-2328","100 Punggol Walk (828790)","Twin Waterfalls","Condominium","Executive Condominium","3","2","HIGH","LEASEHOLD/99 years","Frasers Centrepoint Homes,Keong Hong Holdings Ltd","2015","728","D19 - Hougang / Punggol / Sengkang","$1,180,000 (Negotiable)","915 sqft (Built-up)","$1,290 psf (Built-up)","Not tenanted",2021-09-15,"City View	Fibre Ready	Park/greenery View	High Floor	Balcony","SOO TECK LRT U+C,PW7,PUNGGOL MRT,NE17	PTC,CHENG LIM LRT,SW1","Twin Waterfalls,43	43M	117	118	119,Aft TPE,117	118	119	43	43M,Opp Blk 268D,119	382G","Punggol Green Primary,0.13,Compassvale Primary,0.81,Punggol View Primary,0.92","Edgefield Secondary,0.52,Compassvale Secondary,0.66,Chij St. Joseph's Convent,1.23","Waterway Point,0.73,Compass One,1.11,Compass Point,1.11","Sheng Siong Hypermarket(Punggol Central),0.97,Cold Storage Compass Point,1.11,NTUC Fairprice (Punggol Drive Block 612),1.27",NA,NA,NA,NA
"2","92919111","679517","Tree House (D23), Condominium - For Sale","","Built in 2013 by Chestnut Avenue Developments Pte Ltd, Tree House is located in District 23 and has a total of 429 units. This Condominium/Apartment is accessible through the nearest train stations such as PENDING LRT STATION, Pending (BP8), and BANGKIT LRT STATION. The nearest primary schools are Bukit Panjang Primary School, Chij Our Lady Queen Of Peace, and Zhenghua Primary School. This property is close to amenities like Giant(bangkit Road), Cold Storage Rail Mall , and NTUC FAIRPRICE (BUKIT PANJANG PLAZA). The closest shopping malls are THE RAIL MALL, HillV2, and FAJAR SHOPPING CENTRE.","60 Chestnut Avenue (679517)","Tree House","Condominium","Condominium","2","2","PENTHOUSE","LEASEHOLD/99 years","Chestnut Avenue Developments Pte Ltd (City Developments Ltd,Hong Realty)","2013","429","D23 - Dairy Farm / Bukit Panjang / Choa Chu Kang","$1,180,000","925 sqft (Built-up)","$1,276 psf (Built-up)","Tenanted",2021-09-16,"Fibre Ready	High Ceiling	High Floor	Penthouse	Balcony	Loft","PENDING LRT,BP8,BANGKIT LRT,BP9,CASHEW MRT,DT2","Aft Chestnut Ave,700	700A	966,Opp Blk 201,966	700	700A,Bef Chestnut Ave,966	700	700A","Bukit Panjang Primary,0.85,Chij Our Lady Queen Of Peace,1.03,Zhenghua Primary,1.31","Fajar Secondary,0.59,Assumption English,0.9,Assumption Pathway,1.12","The Rail Mall,1.47,HillV2,1.54,Fajar Shopping Centre,1.67","Giant(Bangkit Road),1.08,Cold Storage Rail Mall,1.44,NTUC Fairprice (Bukit Panjang Plaza),1.72","$2,500",NA,NA,NA
"3","92470311","659920","Hillview Regency (D23), Condominium - For Sale","3 bedrooms with 2 toilets","Quiet and face pool and greenery. New aircon. Spacious 2 bedrooms +1 study room+1 bomb shelter. Tenanted till 6 Oct at $3.2K. 500m to NTUC supermarket/Bukit Batok Central/ Westmall . Within 1km to LianHua Primary, Keming Primary and Bukit View Primary school. Bukit Batok MRT and bus interchange . Bus 176, 985. Whatapps me for video.","26 Bukit Batok East Avenue 2 (659920)","Hillview Regency","Condominium","Condominium","3","2",NA,"LEASEHOLD/99 years","Hillview Regency Pte Ltd (Far East)","2005","572","D23 - Dairy Farm / Bukit Panjang / Choa Chu Kang","$950,000 (Negotiable)","969 sqft (Built-up)","$980 psf (Built-up)","Not tenanted",2021-06-28,"Barbecue Area	Club House	Fitness Area	Gymnasium	Play Ground	Swimming Pool	Tennis Court	Wading Pool	Air Conditioning	Corner Unit	Park/greenery View	Swimming Pool View	Renovated	Bathtub	Cooker Hob/hood	Water Heater	Bombshelter","BUKIT GOMBAK MRT,NS3,BUKIT BATOK MRT,NS2,HILLVIEW MRT,DT3","Opp Blk 258,985	176,Blk 258,176	985,The Petals Condo,963	970	176	177	173","Lianhua Primary,0.62,Keming Primary,0.8,Bukit View Primary,0.94","Hillgrove Secondary,0.71,Bukit View Secondary,1.06,Yusof Ishak Secondary,1.09","West Mall,1.16,The Rail Mall,1.24,HillV2,1.29","NTUC Fairprice (Bukit Batok East),0.56,Giant(Bukit Batok East Avenue 3),0.65,Sheng Siong Supermarket(Clementi 420A),1.13",NA,"Fully Furnished",NA,NA
"4","93427531","348228","Sennett Residence (D13), Condominium - For Sale","","Wow! Wow! Wow! Excellent Location! Awesome for Own-stay or Investment - 2 bedrooms + 2 baths - Just next to Potong Pasir MRT, - High Floor above #10 - Functional living space with no wastage of space - Stone’s throw away to amenities (Poiz Centre / Cold Storage etc) - Near Good Schools (St Andrews / Cedar Girls ...) - Tenanted till 2nd Jan 2022 Very Motivated Seller Contact Mr HOT (LB Toh) @ 9798 XXXX for an exclusive viewing!","33 Pheng Geck Avenue (348228)","Sennett Residence","Condominium","Condominium","2","2","HIGH","LEASEHOLD/99 years","Clerodendrum Land Pte Ltd","2016","332","D13 - Macpherson / Potong Pasir","$1,200,000 (Negotiable)","711 sqft (Built-up)","$1,688 psf (Built-up)","Not tenanted",2021-09-16,"Amphitheatre	Bbq Area	Cabanas	Children Playground	Clubhouse	Fitness Stations	Garden Terrace	Green Lawn	Jacuzzi	Pool	Rain Garden	Reading Pavilions	Resting Pavilions	Sky Bridge	Sky Gym	Undulating Bridge	Water Feature	Water Jets Plaza	Waterwall	Yoga	High Floor	Fibre Ready	Renovated	Balcony","POTONG PASIR MRT,NE10,WOODLEIGH MRT,NE11,GEYLANG BAHRU MRT,DT24","Potong Pasir Stn,142	147	133	107	107M	853	853C	13,Potong Pasir Stn,13	107	107M	142	147	133	853	853C	NR6,Opp Leong Bee Ct,13	853	853C	107	107M	133	142	147","St. Andrew's Junior,0.49,Cedar Primary,0.86,Bendemeer Primary,1.11","St. Andrew's Secondary,0.39,Cedar Girls' Secondary,0.63,Bendemeer Secondary,1.17","Bendemeer Shopping Mall,1.53","NTUC Fairprice (Potong Pasir Community Club),0.32,NTUC Fairprice (Kallang Bahru),1.1,Giant(Kim Keat Avenue),1.35",NA,NA,"Maris Stella High School,1.5",NA
"5","89646101","229979","Parc Sophia (D9), Apartment - For Sale","","FREEHOLD Project @ Parc Sophia @ Adis Road District 9 | TOP in late 2011 2 Bedrooms with good size 721 sqft Corner unit with great privacy. Currently tenanted till June 2021 Great facing with no afternoon sun Good layout with no waste of space Nice balcony for lifestyle living Ideal for own-stay and good rental yield of approx. 3% Short walk to Plaza Singapura , Cathay , Pomo , Park Mall & SOTA Very accessible to Dhoby Ghaut MRT or Little India MRT For your pleasure of viewing via appointment only, please contact: Mr HOT (LB Toh) | ERA Singapore 9798 XXXX.","10 Adis Road (229979)","Parc Sophia","Apartment","Apartment","2","1",NA,"FREEHOLD","Oxley Ventures Pte Ltd","2011","152","D9 - Orchard / River Valley","$1,290,000 (Negotiable)","721 sqft (Built-up)","$1,789 psf (Built-up)","Not tenanted",2021-09-16,"Fibre Ready	Mid Floor	Renovated	Balcony","DHOBY GHAUT MRT,CC1	NS24	NE6,BENCOOLEN MRT,DT21,BRAS BASAH MRT,CC2","","St. Margaret's Primary,0.3,Stamford Primary,1.12,Anglo-chinese School (junior),1.15","School Of The Arts Singapore,0.26","Parklane Shopping Mall,0.23,Paradiz,0.24,Pomo,0.24","Cold Storage Pomo Centre,0.24,Sheng Siong Hypermarket(The Verge),0.64,NTUC Fairprice (Rochor Centre),0.85",NA,NA,"School Of The Arts Singapore,0.26",NA
"6","85761551","266225","D'Leedon (D10), Condominium - For Sale","","D’LEEDON | Singapore Luxury Homes | Luxury Condo Prime District 10 – Rare 4 Bedroom @ D’Leedon for Sales Come home to your Serene Urban Resort and Relax at the Balcony. Located in Prime location District 5, this lovely 4 Bedrooms with 2 ensuites has a functional layout of approximate 1346sqft. Very Well Renovated & in Superb Condition! Pool Facing. It is mere minutes stroll to Farrer Road MRT station. Exclusive, Quiet, Serene, Greenery Close to Prestigious Schools - * Near Nanyang Primary, St Magaret's Secondary, ACS International For Rent and for Sales! High Potential Yield and Tenant Pool - surrounded by various amenities Please call Joey Ong +65 9436 XXXX to book for a Private & Exclusive viewing today! Like, follow and subscribe to get FREE property updates, valuation and more property listings! Call: +65 9436 XXXX Whatsapp: http://bit.ly/2VBlRzh Web: www.joeyongproperty.com| www.9436XXXX.com FB: Joey Ong Property | Singapore Luxury Homes Instagram: Joey Ong Property | Singapore Luxury Homes Youtube: Joey Ong Property | Singapore Luxury Homes We have Many other units at D’leedon and D9/10 units for sales too","15 Leedon Heights (266225)","D'Leedon","Condominium",NA,NA,"4",NA,"LEASEHOLD/99 years","Morganite Private Limited","2014","1715","D10 - Tanglin / Holland / Bukit Timah","$3,500,000 (Negotiable)","1,938 sqft (Built-up)","$1,806 psf (Built-up)","Not tenanted",2021-09-16,"Basketball Court	Bbq	Clubhouses	Event Courts	Fitness Areas	Gymnasium	Jacuzzis	Jogging Tracks	Lap Pool / Gym Pool	Mini Race Track	Multi-purpose Court	Play Areas	Restaurant/retail Space	Spa Pavilions	Tennis Courts	Theme Gardens	Corner Unit	Swimming Pool View	Balcony","FARRER ROAD MRT,CC20,HOLLAND VILLAGE MRT,CC21,TAN KAH KEE MRT,DT8","","Nanyang Primary,0.78,Raffles Girls' Primary,1.56,New Town Primary,1.83","St. Margaret's Secondary,0.92,Hwa Chong Institution,1.05,National Junior College,1.61","Holland Road Shopping Centre,1.04,Coronation Shopping Plaza,1.19,The Star Vista,1.89","Cold Storage Holland Village,1.04,NTUC Fairprice (Coronation Plaza),1.19,NTUC Fairprice (Buona Vista CC),1.37",NA,"Partially Furnished","Hwa Chong Institution,1.05,National Junior College,1.61",NA
"7","88688531","248354","RV Residences (D10), Condominium - For Sale","Rv Residences","New List! <U+2705> Balcony, 4 Bedrooms, 3 Bathrooms, 1 Helper Room <U+2705> Renovated, Designer Decor House <U+2705> Rare. Like Landed-Living <U+2705> 2 Car Park lots in front of house <U+2705> Quiet, Serene & lots of Greenery <U+2705> Just bring yr Luggage in! <U+2705> Spacious Living Space <U+2705> Squarish & Functional Layout <U+2705> 1KM to River Valley Primary <U+2705> Mins to Valley Point Shopping Mall (with NTUC, Koufu, etc), Amenities, Coffeeshop, Eateries, Great World City and CBD <U+2705> Mins to Tiong Bahru MRT Station & Upcoming Great World MRT Station (2021) <U+2705> Motivated & Serious Seller <U+2705> Selling Vacant! Ideal for home living or Investment Call Joey Ong Now @ 9436 XXXX to view before it is taken!","469 River Valley Road (248354)","RV Residences","Condominium","Condominium","4","3","GROUND","999 years","Asiawide Resources Pte Ltd","2015","248","D10 - Tanglin / Holland / Bukit Timah","$2,500,000 (Negotiable)","1,205 sqft (Built-up)","$2,075 psf (Built-up)","Not tenanted",2021-09-16,"Bbq	Communal Landscape Area/children's Playarea	Function Rooms	Funpool	Gymnasium	Koen Garden	Large Chess Set	Maleand Female Steam Room	Moonlight Dining	Open Shower	Reading Lounge/games Room	Sky Pool	Corner Unit	Renovated	Bathroom	Attached Bathroom	Air Conditioning	Cooker Hob/hood	Intercom	Water Heater	Balcony	Maidsroom","GREAT WORLD MRT DUE 2021,TE15,HAVELOCK MRT DUE 2021,TE16,TIONG BAHRU MRT,EW17","Mutiara View,32	139	970,Valley Pk Condo,139	32	14	65	970,Mutiara Crest,65	14","Alexandra Primary,0.56,River Valley Primary,0.82,Zhangde Primary,1.16","Gan Eng Seng,0.79,Crescent Girls',1.22,Outram Secondary,1.31","Valley Point,0.22,Valley Point Shopping Centre,0.22,Great World City,0.4","Cold Storage Valley Point,0.22,NTUC Fairprice (Valley Point),0.22,Cold Storage Great World City,0.4",NA,"Partially Furnished",NA,NA
"8","93398911","117281","Normanton Park (D5), Apartment - For Sale","Normanton Park","A distinctive condominium with 360 degrees unblocked views. NORMANTON PARK – DISTRICT 5 An address of prestige and promise, Normanton Park is the latest development by Kingsford Development. Cloistered by the natural woodland of Kent Ridge Park, Normanton Park boasts about 60% of ground-level common area covered by lush shrubbery and water bodies. Manicured lawns and glimmering pools from within seamlessly merge with green corridors and a tranquil lake just outside of home. Perched atop undulating grounds of Kent Ridge Park, Normanton Park will likely become a distinctive feature of the island-state’s southern skyline. All residential towers are elevated 19 metres above ground level to possibly maximise views of the city, lush surrounds or Southern Islands. Residents of Normanton Park will be able to commute with ease with well-connected network of expressways and transport nodes nearby. Within close proximity are also recreational and retail enclaves, educational institutions, medical hubs, business parks and luxuriant green belts to enrich life in every way possible. Project Highlights: The Mega Launch that all investors must know in 2021 More than 660,000sqft of majestic landscaping Over 100 lifestyle facilities to indulge in Breath-taking views of Kent Ridge Hill, City Skyline and the SEA Nestled within the High growth area of One-North and Science Park 1 & 2 Project Details: Developer: Kingsford Huray Development Pte Ltd Address: Normanton Park Property Type: Residential Tenure: 99 year lease hold Total Units: 1862 residential units + 8 Commercial shops Unit Mix: 1 Bedroom, 1 Bedroom + Study, 2 Bedroom Compact, 2 Bedroom Premium, 2 Bedroom + Study, 3 Bedroom Compact, 3 Bedroom Premium, 4 Bedroom Compact, 4 Bedroom Premium, 5 Bedroom, Terrace House Call 9436XXXX Now To Enquire.","51 Normanton Park (117281)","Normanton Park","Apartment","Apartment","1","1","LOW","LEASEHOLD/99 years","Kingsford Huray Development Pte Ltd",NA,"1862","D5 - Buona Vista / West Coast / Clementi New Town","$967,000","517 sqft (Built-up)","$1,870 psf (Built-up)","Not tenanted",2021-09-16,"Sea View	Park/greenery View	Fibre Ready	Balcony","PASIR PANJANG MRT,CC26,KENT RIDGE MRT,CC24,HAW PAR VILLA MRT,CC25","Opp The Rutherford,92,The Rutherford,92","New Town Primary,1.74,Fairfield Methodist School (primary),1.77",NA,"Queensway Shopping Centre,1.25,Anchorpoint Shopping Centre,1.45,Anchorpoint,1.45","NTUC Fairprice (NUH Medical Centre),1.21,NTUC Fairprice (Stirling Road),1.32,Cold Storage Anchorpoint,1.45",NA,"Not Furnished",NA,"2023"
"9","93473241","138642","One-north Residences (D5), Apartment - For Sale","One North For Sale","One-North Residences for sale!!! Spacious Living with open concept kitchen. Loft units with privacy for master bedroom. Greenery View. Near MRT. One North Residences is a 99-years leasehold development located at 7 One-North Gateway (S) 138642 in District 05, near Buona Vista MRT Station. Completed in 2009, it comprises 405 units. One North Residences is close to National University Hospital and National University of Singapore. Condo Facilities at One North Residences One North Residences has full facilities, which includes 24 hours security, swimming pool, BBQ pits, gym, Jacuzzi, sky gardens, and playground. Condo Amenities near One North Residence Several bus services are available near One North Residences. It is also close to elite local and international schools such as Anglo-Chinese Junior College and United World College of South East Asia. Residents can take a short bus ride to Holland Village, where numerous restaurants and eating establishments, as well as supermarkets and other shops, are located. Recreational facilities such as the Transview Golf & Country Club are located just a short drive away. For vehicle owners, driving to the Central Business District(CBD) takes about 1 minutes via Ayer Rajah Expressway, whereas the vibrant Orchard Road shopping district is about 15 minutes drive along Holland Road. Contact Alycia @9455XXXX for more viewing today! For more info, pls contact: Alycia Wang (R018304D) 9455XXXX WhatsApp : https://wa.me/+659455XXXX Email: alycia.wang@gmail.com Website: AlyciaWang.com For more listing, pls visit: https://youtube.com/channel/UCSUBSAqIMnH1Pv2ANO_GFYw >> Follow this link to view our catalogue on WhatsApp: https://wa.me/c/659455XXXX","7 One-north Gateway (138642)","One-north Residences","Apartment","Apartment","1","1","HIGH","LEASEHOLD/99 years","Uol/Kheng Leong/Low Keng Huat","2009","405","D5 - Buona Vista / West Coast / Clementi New Town","$1,480,000","959 sqft (Built-up)","$1,543 psf (Built-up)","Tenanted",2021-09-16,"Barbecue Area	Gymnasium	Jacuzzi	Landscaped Garden	Swimming Pool	Park/greenery View	Renovated	Air Conditioning	Cooker Hob/hood	Water Heater	Fridge	Oven	Air-conditioning	Balcony	Loft","ONE NORTH MRT,CC23,BUONA VISTA MRT,CC22	EW21,COMMONWEALTH MRT,EW20","Opp One-North Stn,191","Fairfield Methodist School (primary),0.53,New Town Primary,1.17,Henry Park Primary,1.73","Fairfield Methodist School (secondary),0.62,Anglo-chinese School (independent),1.08,Queensway Secondary,1.39","Rochester Mall,0.39,The Star Vista,0.56,Holland Road Shopping Centre,1.08","Market Place @ One-North,0.38,Cold Storage The Star Vista,0.55,NTUC Fairprice (Buona Vista CC),0.83","$0","Partially Furnished","Anglo-chinese School (independent),1.08",NA
"10","92344711","398697","Prime Residence (D14), Apartment - For Sale","Walk to MRT, Amenities. Good Location!","Sell with Tenancy Till 31-07-2022 ===================================== <U+2705> 1 Bedroom For Sale <U+2705> Bright & Windy <U+2705> Well Kept, Move In <U+2705> Exclusive Corner Unit <U+2705> Walk to MRT, Eateries, Shops & many more... <U+2705> Easy Access to Major Expressway, City Area and Etc... <U+2705> Very Good Location... <U+2705> Genuine Seller ===================================== Must View NOW... Please Contact Aaron Loon ERA 9457XXXX Hurry","41 Lorong 22 Geylang (398697)","Prime Residence","Apartment","Apartment","1","1","MID","FREEHOLD","Springlife Development Pte Ltd","2014","39","D14 - Eunos / Geylang / Paya Lebar","$589,000 (Negotiable)","388 sqft (Built-up)","$1,518 psf (Built-up)","Tenanted",2021-09-16,"Corner Unit	Renovated	Mid Floor	Air Conditioning	Cooker Hob/hood	Water Heater","MOUNTBATTEN MRT,CC7,ALJUNIED MRT,EW9,DAKOTA MRT,CC8","Opp Blk 56,7	70	70M	197,Blk 56,197	70	70M	7","Kong Hwa,0.66,Geylang Methodist School (primary),0.73,Canossa Catholic Primary,1.72","Broadrick Secondary,0.68,Geylang Methodist School (secondary),0.72,Chung Cheng High School (main),1.12","Leisure Park Kallang,1.19,City Plaza,1.3,Kallang Wave Mall,1.36","NTUC Fairprice (Jalan Tiga),0.46,NTUC Fairprice (Geylang Lorong 38),0.75,NTUC Fairprice (Upper Boon Keng),1.12","$0",NA,"Dunman High School,1.27",NA
